text,user,ts
"<!channel>
*SAGA Smart Community 交流会2026の運営メンバーをやってみたい方を募集します*:blob_smile_happy_eyes:
2026年2月（または3月）予定で、佐賀のITコミュニティが一堂に会するイベント、SAGA Smart Community 交流会が開催されます:blob-wave:今回は2Daysで、各コミュニティの紹介、交流会、ハンズオンイベントや、アイデア創出ワークショップなどが実施される予定となっています。
このイベントの運営メンバーをやってみたい方、いらっしゃらないでしょうか:blob_smile_open_mouth2:

こんな人におすすめ:dart:
 他のITコミュニティの方等と交流してみたい、繋がってみたい。
 単発でイベントの運営をやってみたい。
  backlogでタスク管理、進捗管理がやってみたい（運営は有償プランで動いています）。
 Webサイトの作成、運営や申し込み等ツールの実装なども希望あれば実施が可能です。
私も運営メンバーとして参加します。少しでも興味のある方がいらっしゃいましたら、このスレッドかDMにてお知らせください:blob_smile_happy_eyes:一緒に面白いことやりましょう:+1:

<https://sitcd.vercel.app/|昨年のイベントサイト>",古川格(運営),2025-10-16 12:00:01.376129
"Re:他にも...
イベント会場の選定とか予約をしてみたいなら、会場班 :hyun-nya:
カメラ好きなら、撮影班 :camera-nya:
カウントダウンブログ（Scroll :ok-nya2: ）書くなら、SNS班 :nanimo-sitenainoni-kowareta-nya:
複数会場を繋いでみたいなら、配信班 :beam-nya:
...など、いろいろチャレンジしてみたい内容に限りがないのです :calendar-nya:",Tetsuya Shibao,2025-10-17 00:10:27.177019
":tehe-nya::ouen-nya::sirome-nya::umasou-nya::youkoso-nya:
なんか猫のカスタム絵文字いっぱい増えてると思ったら<@U05GA72QWGN> さんでした:nanimo-sitenainoni-kowareta-nya:
ありがとうございます:blob_smile_happy_eyes:
Slackのカスタム絵文字、誰でも増やせる設定にしてますのでみなさんいいのがあれば是非是非:blob_smile_happy_eyes:",古川格(運営),2025-10-15 23:11:52.173039
"AI駆動開発の個人開発が凄い。！
AIの利用に火がついた。
これ絶対やらんといかん！
<https://youtu.be/kzPOe18kqwE?si=VTApKxdcX-xPHgth|https://youtu.be/kzPOe18kqwE?si=VTApKxdcX-xPHgth>",宮副 孝,2025-10-15 19:24:40.869529
"「gpt-oss gemma3」って検索すると一番上にscrollがくるの、なかなか凄くないですか :star-struck: 
",古川格(運営),2025-10-09 00:15:09.531359
終わりました :star-struck: ちゃっかりhagakureも宣伝してきました :+1: ,古川格(運営),2025-10-05 12:40:34.520989
"仕事めちゃめちゃ頑張って片付けた:partying_face: 行ってきます :star-struck:人生2度目の新幹線:bullettrain_side:
<@U03JP4DKLQL>さん登壇資料の添削ありがとうございました :partying_face: :感謝:",古川格(運営),2025-10-04 13:20:22.916319
"マークダウン記述をプログラミング言語として仕様駆動開発を行う(みたいな可能性のお話…)
<https://github.blog/ai-and-ml/generative-ai/spec-driven-development-using-markdown-as-a-programming-language-when-building-with-ai/>",吉井春樹,2025-10-03 20:58:07.559769
"AIや、プログラムのドキュメントは、英語が多いですね。
僕は英語が苦手て、部分的な単語はわかることがあるのですが、全体を理解できません。

そこで、pythonとDeepLのapiを使って、翻訳プログラムを作りました。
結果は、csvやtxtに保存できますので、notionやpandasでの再利用も可能です。

その内容をこの前使い始めたnotebookllmの音声を活用してspotifyに上げてみました。

<https://open.spotify.com/episode/1w0jwwVe1rkzjTAhOPq19S?si=Y7SyoEMLRQe2MXFrbfrSYw>",武松　道生,2025-10-02 16:49:32.397269
Re:APIだと500000文字まで行けるんですね :blob_smile_happy_eyes: 知らなかった :sparkles: ,古川格(運営),2025-10-02 17:37:54.304089
"＼ :mega: 10/21(火) MEET UP TERAKOYA：ローカル起業における持続可能性と社会的インパクト :tada:／

こんにちは！最近HAGAKUREに全然参加できていない鈴木です。
私の所属する株式会社トレジャーフットが受託している事業、起業複業支援事業『<https://saga-terakoya.com/|SAGA Smart Terakoya>』からお知らせです :envelope_with_arrow:
Terakoyaでは10月から「起業」に関するイベントを定期開催します:sparkles:

あのZebras and Company の田端さんのお話を無料で聴けるチャンス！
佐賀の起業家・副島さんとのパネルディスカッションも必見です！！
少しでもご興味ある方は、ぜひご一読ください:fire:

==============================
:small_blue_diamond:10/21(火) 18:30～20:00
*MEET UP TERAKOYA：ローカル起業における持続可能性と社会的インパクト*
世界的にも注目される「ゼブラ企業（社会課題の解決と持続的成長を両立する企業）」の概念を日本に広めた、*Zebras and Company 共同創業者 田淵さん*や佐賀県の起業家 株式会社JAFAN 副島さんをゲストにお招きし、「佐賀×起業」をテーマに語る特別トークイベント:sparkles:

*＜第一部：基調講演＞*
Zebras and Company 共同創業者 田淵良敬 氏。投資・経営支援の第一線で培った知見をもとに、「地域発の起業はどうすれば持続可能で社会的インパクトを持つ事業になり得るのか？」について語っていただきます。

*＜第二部：パネルディスカッション＞*
第一部に続き、田淵氏もパネリストとして参加。さらに、佐賀から挑戦を続ける起業家と支援機関の実務家が加わり、多角的にローカル起業の未来を語ります。
田淵 良敬 氏（Zebras and Company 共同創業者）
副島 希帆 氏（株式会社JAFAN 代表取締役）
井原 淳 氏（公益財団法人佐賀県産業振興機構 さが産業ミライ創造ベース）

:memo:*申込＆詳細はこちら*
<https://saga-terakoya.com/meetup20251021/>
 ※申込締切：10月21日(火) 17:00まで
==============================",鈴木美弥子,2025-10-02 13:49:16.096139
cursorにも来てる:star-struck:お値段は４から据え置きらしいのが嬉しい:sparkles:,古川格(運営),2025-10-01 07:24:51.933379
"自分の合成音声が作れて、どんな声か分析もしてもらえます
スマホアプリがおすすめです
私は、思い出にこどもの小さい頃の声を残すのに使ったりしてます
<https://coestation.jp/|https://coestation.jp/>",田代　拓也,2025-09-29 07:18:05.968459
"なんかよくわからんことを言う人からスポットの仕事を受けてしまい、
(多分)AIに作らせたもんがなんかおかしいから確認して直して？
ということなんだろうと相手の日本語を僕の日本語に翻訳して理解し、
AIにぶん投げて修正箇所チェックさせて作り直させ改良させて校正して投げ返した…",吉井春樹,2025-09-22 15:32:12.835609
"Re:&gt; (多分)AIに作らせたもんがなんかおかしいから確認して直して？
頭痛くなってきました。あるあるすぎる・・・",川久保翔太,2025-09-22 15:44:43.776319
Re:え～でもお客の気持ちはわかる笑,橋口加代子(運営),2025-09-22 17:38:40.264809
Re:最後まで「此奴儂をAIか何かと思うとりゃせんか？」というくらい曖昧な感じだったので逃げました(敗走×1),吉井春樹,2025-09-22 22:30:27.548619
