text,user,ts
"今日は、楽しいひと時をありがとう。
コーヒーたんへん美味しく頂きました。
また、手作りのパンとクッキー最高でした。
 Scrollの熱い思いが直に伝わり、出来の良さに驚きました。
デザイン、チーム連携、仕上がり、プロ顔負けです。
これからの運用、記事投稿、楽しみです。",宮副 孝,2025-07-21 20:52:36.624459
"Re:ご参加ありがとうございました:blush:
scroll褒めていただき光栄です :sparkles: ぜひブログも書いてみて下さい :+1: ",古川格(運営),2025-07-21 22:36:28.864079
"本日はとても楽しかったです。色々な方のお話を聞けていい刺激になりました。カフェもとっても充実していて、どれも美味しかったです！
運営の皆様に心から感謝します。ありがとうございました。:blush:",寺脇 千登勢,2025-07-21 20:28:16.975229
"Re:ご参加ありがとうございました:blush:
喜んでいただけて運営一同感謝です :sparkles: 
勉強会、web作ろう会等々これからもお気軽にご参加ください :blob-wave: ",古川格(運営),2025-07-21 22:35:48.420249
"本日は初めて参加させていただき、皆さまに温かく迎えていただき本当にありがとうございました。
生のプログラミングに関するお話を伺うことができ、また実際のサイト運営におけるフロントからバックエンドまでの流れについても詳しく教えていただき、大変勉強になりました。
運営の皆さまにも心より感謝申し上げます。ありがとうございました :man-bowing: ",大久保吉徳,2025-07-21 19:50:39.123929
"Re:早速のご参加ありがとうございました:blush:
これからも勉強会等ぜひご参加下さい :+1: よろしくお願いします :+1:
",古川格(運営),2025-07-21 22:34:51.207739
今日は遅れて参加しましたが、色々な方とお話できて楽しかったです。運営に関わられた方は、準備等大変だったと思います。ありがとうございました。,千々岩延泰,2025-07-21 18:48:44.002739
"Re:ご参加ありがとうございました:blush:
久しぶりにお話させていただき楽しかったです :sparkles: 
また勉強会等ぜひよろしくお願いします :+1: ",古川格(運営),2025-07-21 22:33:13.049089
"<!channel>
本日ご参加の皆様、ありがとうございました :sparkles: 楽しかった :sparkles:
わたくしコーヒーばかり淹れており、イベントの写真が手元にないことに気づきました :melting_face: 
今日の写真をお持ちの方、ぜひこちらの返信であげていただけないでしょうか。
また、今日の写真について、Facebook等への投稿がNGの方がいらっしゃったらこちらかDMにてお伝えください :pray: ",古川格(運営),2025-07-21 18:18:17.626909
Re:,古川格(運営),2025-07-21 18:19:00.929599
Re:,藤瀬裕一,2025-07-21 18:33:35.285689
"Re:今日は企画運営ありがとうございました！
美味しいコーヒーに、パンに、お菓子に、楽しい会でした :grin: ",森田剛史,2025-07-21 20:58:08.761899
Re:,権 晃稔,2025-07-21 21:46:21.676689
Re:,権 晃稔,2025-07-21 21:46:46.400069
"Re:<@U04FT3S4LJG> 
写真ありがとうございます:blush:
参加ありがとうございました :sparkles:浅煎り教が布教できてよかったです :sparkles: ",古川格(運営),2025-07-21 22:28:45.884169
"Re:<@U02TM9JFPQ9> 
写真ありがとうございます:blush:
参加、お手伝いありがとうございました :sparkles: 次回は自家焙煎コーナーも作りたいですね :laughing: ",古川格(運営),2025-07-21 22:30:00.133459
"Re:<@U04TNLBNVBM> 
写真ありがとうございます:blush:
お金管理、設営、進行等々本当にありがとうございました :sparkles: おかげでイベントとして大盛況だったのではと思います :sparkles: 
紅茶も絶品でした :star-struck: ",古川格(運営),2025-07-21 22:32:07.560069
"Re:コーヒー
コーラ
コーリ
コーチャ
いずれも最高でした♪",藤瀬裕一,2025-07-22 10:35:05.016959
運営の皆様、お話しいただいた皆様ありがとうございました:bow: :sparkles:美味しいスイーツやコーヒーに、よい場所にて有意義な時間を過ごす事が出来ました(*´∀人,新田 美幸,2025-07-21 16:56:06.553579
運営の皆様､本日はありがとうございました :hagakure-cafe: コーヒーもクッキーも大変美味しかったです :+1: ,眞子 美幸,2025-07-21 16:47:19.204699
HGKURE CAFEでの美味しいコーヒーとスイーツ、そして興味深いお話、ありがとうございました。,山本 義正,2025-07-21 16:37:38.151819
":mega:CAFEご来店の方へ:mega:
身障者用のスペースに駐車ができる旨掲載しておりましたが、
現在駐車ができない状況になっております。
お手数ですが、通常の駐車場へお願いいたします！
１００円処理しますので、受付時にお申し付けください！",権 晃稔,2025-07-21 13:55:28.242739
Open～,権 晃稔,2025-07-21 13:22:07.933229
セブン横はあと二枠程ありました:oncoming_automobile:,新田 美幸,2025-07-21 12:52:55.527859
"そうだったんですね
入ったけど、でてしまいました",田代　拓也,2025-07-21 12:45:37.397919
"<@U07TWJY3WA2>
セブン横は、イベント用に使って頂いて大丈夫とのことです。
パーキングパーミットでなく、枠外になります。警備員さんにイベントとお伝えください :pray: ",古川格(運営),2025-07-21 12:41:29.275719
"文化会館の駐車場が近そうな感じですかね
セブン横は、パーキングパミットで停めれなさそうでした",田代　拓也,2025-07-21 12:39:59.591189
,山下　晃(ﾔﾏｼﾀ　ﾋｶﾙ),2025-07-21 12:20:46.731249
"<@U06FXQKUH5Z>
こちらになります:+1:
<https://sss-ixw8135.slack.com/archives/C02T1VAQRU6/p1752995181181369?thread_ts=1752980401.152899&amp;cid=C02T1VAQRU6>",古川格(運営),2025-07-21 10:15:58.796029
"2時過ぎると思いますが、伺います。お世話になります。
駐車場の場所を教えていただけるとありがたいです。",千々岩延泰,2025-07-21 10:14:53.970749
"<!channel>
リマインド。本日です:laughing:ご参加お待ちしております:blob_smile_happy_eyes:
うちの８歳双子は会場でマイクラしておりますので、お子様連れの方も是非是非:+1:
<https://sss-ixw8135.slack.com/archives/C02T1VAQRU6/p1752980401152899>",古川格(運営),2025-07-21 10:11:14.222259
:hagakure-cafe: ←HAGAKUREカフェのスタンプが作られている :blob_cheer: :ありがとう: ,古川格(運営),2025-07-20 23:45:29.994299
"<!channel>
*HAGAKUREカフェやります！！*
*（HAGAKUREのイベント参加未経験の方も、是非、ぜひ！遊びに来てください*:blob_smile_happy_eyes:*）*
*日付 : 7月21日（祝・月）*
*時間 : 13:00 ～ 16:00*
*場所 : RYO-FU BASE（SAGAアリーナ内のスペース　イベント参加者用無料駐車場有り）*
*参加費：一人500円（現金のみ。釣り銭の無いようご協力をお願いします* :pray:*）*
RYO-FU BASE様よりSAGAアリーナの素敵なスペースをレンタルできることになったので、コーヒーを飲みながらプログラミングについて語れる、*HAGAKUREカフェ*をオープンします:coffee:
割とコーヒーガチ勢の私古川と<@U03JP4DKLQL> さんが厳選したコーヒー豆を持ち寄り、フードには一部皆様にはお馴染みパティスリー橋口のスイーツ（お菓子名人<@U02TRLD245V> さんの手作りスイーツ）:sparkles:を用意。
ゆっくりまったりコーヒーやプログラミングについてお話しましょう:partying_face:途中参加、途中退場も自由です。

橋口さんより、「手作りパンも用意していますので、昼食は軽めにしてご参加ください」とのことです:blob_cheer:

PROGRAMMING塾的要素として
・出張webサイト作ろう会
作成したブログサイト「 <https://hagakurepgm.net/blog/|scroll>」の開発話や、ソースコードの公開、gitを使った実際の開発実演など、見てみたい人の希望に合わせて行いたいと思います :star-struck:
webに興味のある方、この機会にぜひ遊びに来てください。

・技術書お譲り会
読み終わった、読まなくなった技術書や専門書など、持ち寄って興味のある人に譲渡出来るスペースを作りたいと思います :book:
*お手持ちの譲ってもいい本がある方はぜひお持ちよりください* :pray::skin-tone-2:

「コーヒーだけ飲みにきたよ」
「黙々作業するよ」
って方ももちろん大歓迎です :blob_cheer:

*運営としては、これまであったことの無い方ともたくさんお会いできるイベントにできたらなあ、と考えております*:blob_smile_happy_eyes:
*終日のイベントだと忙しくて参加できない方も、短時間でも気軽にお立ち寄りいただければと思います。*
*「HAGAKUREに参加してみたものの、何をしていいかわからない」*
*「プログラミングについて解決したい課題や質問のある」*
*という方、ぜひこの機会にご参加。ご相談ください*:+1:
*きっと誰かが解決してくれます。一緒に考えましょう！*

<https://hagakure-cafe-page.pages.dev/>",古川格(運営),2025-07-20 12:00:01.152899
Re:,権 晃稔,2025-07-20 16:06:21.181369
Re::hagakure-cafe: ←HAGAKUREカフェのスタンプが作られている :blob_cheer: :ありがとう: ,古川格(運営),2025-07-20 23:45:29.994299
Re:お世話になります,山本 義正,2025-07-20 23:58:07.157899
Re:<@U08DG5R0G3C> ありがとうございます :sparkles: ,古川格(運営),2025-07-21 00:12:04.286499
Re:こんせんとはつかえますか？すきなぽけもんはげっこうがですがだいじょうぶですか？,吉井春樹,2025-07-21 10:54:50.038839
"Re:コンセント、Wi-Fiあります :+1: 
延長コードあった方がいいかもです。

好きなポケモンはミュウツーですが、多様性の時代ですので問題ないです。",古川格(運営),2025-07-21 10:57:00.286569
Re:吉井さんは、Ankerのポータブル電源で！,権 晃稔,2025-07-21 10:58:53.305509
